txn_date,description,merchant,amount,txn_type,balance
2025-12-01,ONLINE SHOPPING,Amazon,3000,DEBIT,97000
2025-12-05,UTILITIES,Electricity Board,1000,DEBIT,96000
2025-12-08,TRAVEL,Uber,600,DEBIT,95400
2025-12-12,FOOD,Swiggy,800,DEBIT,94600
2025-12-14,GROCERY,DMart,900,DEBIT,93700
2025-12-16,ENTERTAINMENT,Netflix,700,DEBIT,93000
2025-12-18,HEALTHCARE,Apollo Pharmacy,500,DEBIT,92500
2025-12-20,CLOTHING,Zara,1200,DEBIT,91300
2025-12-24,FOOD,Swiggy,50,DEBIT,91250
2025-12-25,GROCERY,DMart,70,DEBIT,91180
2025-12-26,UTILITIES,Jio Fiber,30,DEBIT,91150
2025-12-10,ONLINE COURSE,Udemy,200,DEBIT,90950
