txn_date,description,merchant,amount,txn_type,balance
2025-12-01,SALARY CREDIT,Tech Company Pvt. Ltd.,85000,CREDIT,125000
2025-12-02,GROCERY SHOPPING,Big Basket,2450,DEBIT,122550
2025-12-02,ELECTRICITY BILL,Electricity Board,1850,DEBIT,120700
2025-12-03,BREAKFAST,Starbucks,420,DEBIT,120280
2025-12-03,UBER RIDE,Uber,185,DEBIT,120095
2025-12-04,ONLINE COURSE,Udemy,799,DEBIT,119296
2025-12-04,DINNER ORDER,Zomato,650,DEBIT,118646
2025-12-05,MOBILE RECHARGE,Airtel,599,DEBIT,118047
2025-12-05,SHOPPING,Myntra,2299,DEBIT,115748
2025-12-06,PHARMACY,Apollo Pharmacy,580,DEBIT,115168
2025-12-07,MOVIE TICKETS,BookMyShow,800,DEBIT,114368
2025-12-07,DINNER,Dominos,890,DEBIT,113478
2025-12-08,GROCERY,DMart,1850,DEBIT,111628
2025-12-08,OLA RIDE,Ola,120,DEBIT,111508
2025-12-09,LUNCH ORDER,Swiggy,380,DEBIT,111128
2025-12-09,ONLINE SHOPPING,Amazon,3499,DEBIT,107629
2025-12-10,COFFEE,Starbucks,350,DEBIT,107279
2025-12-10,BROADBAND BILL,Jio Fiber,899,DEBIT,106380
2025-12-11,CLOTHING,Zara,4299,DEBIT,102081
2025-12-11,UBER RIDE,Uber,210,DEBIT,101871
2025-12-12,DOCTOR CONSULTATION,Practo,500,DEBIT,101371
2025-12-12,MEDICINES,1mg,850,DEBIT,100521
2025-12-13,DINNER ORDER,Zomato,720,DEBIT,99801
2025-12-13,NETFLIX SUBSCRIPTION,Netflix,649,DEBIT,99152
2025-12-14,GROCERY DELIVERY,Blinkit,1250,DEBIT,97902
2025-12-14,RAPIDO RIDE,Rapido,95,DEBIT,97807
2025-12-15,FREELANCE PROJECT,Client ABC,15000,CREDIT,112807
2025-12-15,SHOPPING,Flipkart,2799,DEBIT,110008
2025-12-16,LUNCH,Burger King,450,DEBIT,109558
2025-12-16,UBER RIDE,Uber,175,DEBIT,109383
2025-12-17,ONLINE COURSE,Coursera,1299,DEBIT,108084
2025-12-17,DINNER ORDER,Swiggy,580,DEBIT,107504
2025-12-18,CLOTHING,H&M,3199,DEBIT,104305
2025-12-18,COFFEE,Starbucks,380,DEBIT,103925
2025-12-19,WATER BILL,Municipal Corporation,420,DEBIT,103505
2025-12-19,GROCERY,Zepto,980,DEBIT,102525
2025-12-20,MOVIE TICKETS,BookMyShow,650,DEBIT,101875
2025-12-20,DINNER,KFC,780,DEBIT,101095
2025-12-21,BREAKFAST ORDER,Zomato,320,DEBIT,100775
2025-12-21,UBER RIDE,Uber,160,DEBIT,100615
2025-12-21,SHOPPING,Amazon,1899,DEBIT,98716
2025-12-21,GROCERY DELIVERY,Instamart,750,DEBIT,97966
2025-12-21,SPOTIFY SUBSCRIPTION,Spotify,119,DEBIT,97847
2025-12-22,GROCERY,Big Basket,1650,DEBIT,96197
2025-12-22,LUNCH,McDonald's,385,DEBIT,95812
2025-12-23,UBER RIDE,Uber,195,DEBIT,95617
2025-12-23,DINNER ORDER,Swiggy,890,DEBIT,94727
2025-12-24,CHRISTMAS SHOPPING,Amazon,5499,DEBIT,89228
2025-12-24,DINNER,Barbeque Nation,2150,DEBIT,87078
2025-12-25,BREAKFAST ORDER,Zomato,450,DEBIT,86628
2025-12-25,MOVIE TICKETS,PVR Cinemas,1200,DEBIT,85428
2025-12-26,LUNCH,The Bombay Canteen,1850,DEBIT,83578
2025-12-26,OLA RIDE,Ola,145,DEBIT,83433
2025-12-27,GROCERY DELIVERY,Blinkit,980,DEBIT,82453
2025-12-27,COFFEE,Cafe Coffee Day,320,DEBIT,82133
2025-12-28,SHOPPING,Myntra,3299,DEBIT,78834
2025-12-28,DINNER ORDER,Zomato,720,DEBIT,78114
2025-12-29,BRUNCH,Social,1250,DEBIT,76864
2025-12-29,UBER RIDE,Uber,220,DEBIT,76644
2025-12-30,GROCERY,DMart,2150,DEBIT,74494
2025-12-30,DINNER,Pizza Hut,950,DEBIT,73544
2025-12-31,NEW YEAR PARTY,Club Entry,3500,DEBIT,70044
2025-12-31,DINNER,Fine Dining Restaurant,4500,DEBIT,65544
2025-12-31,UBER RIDE,Uber,385,DEBIT,65159
2026-01-01,BREAKFAST,Hotel Breakfast,850,DEBIT,64309
2026-01-01,LUNCH,Trattoria,1650,DEBIT,62659
2026-01-02,GROCERY DELIVERY,Instamart,1180,DEBIT,61479
2026-01-02,COFFEE,Starbucks,420,DEBIT,61059
2026-01-02,RAPIDO RIDE,Rapido,115,DEBIT,60944
2026-01-03,BREAKFAST ORDER,Zomato,380,DEBIT,60564
2026-01-03,LUNCH,Burger King,495,DEBIT,60069
2026-01-03,UBER RIDE,Uber,240,DEBIT,59829
2026-01-03,DINNER ORDER,Swiggy,890,DEBIT,58939
2026-01-04,BRUNCH,Cafe Madras,720,DEBIT,58219
2026-01-04,OLA RIDE,Ola,175,DEBIT,58044
2026-01-04,DINNER,Mainland China,1950,DEBIT,56094
2026-01-05,BREAKFAST,Starbucks,485,DEBIT,55609
2026-01-05,METRO CARD RECHARGE,Delhi Metro,500,DEBIT,55109
2026-01-05,LUNCH ORDER,Zomato,650,DEBIT,54459
2026-01-05,UBER RIDE,Uber,295,DEBIT,54164
2026-01-05,DINNER,Absolute Barbecues,1850,DEBIT,52314
2026-01-06,BREAKFAST ORDER,Swiggy,420,DEBIT,51894
2026-01-06,RAPIDO RIDE,Rapido,95,DEBIT,51799
2026-01-06,LUNCH,Smoke House Deli,1250,DEBIT,50549
2026-01-06,COFFEE,Blue Tokai Coffee,380,DEBIT,50169
2026-01-06,UBER RIDE,Uber,265,DEBIT,49904
2026-01-06,GROCERY,Zepto,1450,DEBIT,48454
2026-01-06,DINNER ORDER,Zomato,980,DEBIT,47474
