txn_date,description,merchant,amount,txn_type,balance,category
2026-07-01,SALARY CREDIT,Tech Company Pvt. Ltd.,101000,CREDIT,101000,Salary
2026-07-01,BREAKFAST,Starbucks,450,DEBIT,100550,Food
2026-07-01,UBER RIDE,Uber,200,DEBIT,100350,Travel
2026-07-01,LUNCH ORDER,Zomato,650,DEBIT,99700,Food
2026-07-02,DINNER,Swiggy,900,DEBIT,98800,Food
2026-07-02,GROCERY,Zepto,1200,DEBIT,97600,Grocery
2026-07-03,METRO RECHARGE,Delhi Metro,500,DEBIT,97100,Travel
2026-07-03,LUNCH,McDonald's,400,DEBIT,96700,Food
2026-07-04,MOVIE TICKETS,BookMyShow,800,DEBIT,95900,Entertainment
2026-07-04,DINNER,Barbeque Nation,1800,DEBIT,94100,Food
2026-07-05,SIP INVESTMENT,HDFC Mutual Fund,5000,DEBIT,89100,Investment
2026-07-05,SIP INVESTMENT,Axis Bluechip Fund,4000,DEBIT,85100,Investment
2026-07-06,PERSONAL LOAN EMI,HDFC Bank,5000,DEBIT,80100,EMI
2026-07-06,COFFEE,Blue Tokai,350,DEBIT,79750,Food
2026-07-07,OLA RIDE,Ola,250,DEBIT,79500,Travel
2026-07-07,LUNCH,Zomato,600,DEBIT,78900,Food
2026-07-08,CREDIT CARD BILL,HDFC Credit Card,8500,DEBIT,70400,Utilities
2026-07-08,GROCERY,Blinkit,1100,DEBIT,69300,Grocery
2026-07-09,BREAKFAST,Starbucks,400,DEBIT,68900,Food
2026-07-10,UBER RIDE,Uber,300,DEBIT,68600,Travel
2026-07-10,DINNER ORDER,Swiggy,850,DEBIT,67750,Food
2026-07-11,SHOPPING,Amazon,2500,DEBIT,65250,Shopping
2026-07-11,LUNCH,KFC,500,DEBIT,64750,Food
2026-07-12,RAPIDO RIDE,Rapido,120,DEBIT,64630,Travel
2026-07-12,DINNER,Mainland China,1600,DEBIT,63030,Food
2026-07-13,GROCERY,Instamart,1300,DEBIT,61730,Grocery
2026-07-13,COFFEE,Starbucks,450,DEBIT,61280,Food
2026-07-14,UBER RIDE,Uber,220,DEBIT,61060,Travel
2026-07-14,LUNCH,Zomato,550,DEBIT,60510,Food
2026-07-15,BREAKFAST,Swiggy,380,DEBIT,60130,Food
2026-07-15,COFFEE,Cafe Coffee Day,320,DEBIT,59810,Food
